cell_type,superclass,role,pairs_lost,own_pairs,other_pairs,sensory_types_cut,motor_types_cut
SNpp17,vnc_sensory,sensory,1330,665,665,1,665
AMMC029,cb_intrinsic,other,665,0,665,1,665
ANXXX264,ascending_neuron,other,665,0,665,1,665
BM,cb_sensory,sensory,665,665,0,0,0
BM_Hau,cb_sensory,sensory,665,665,0,0,0
BM_InOm,cb_sensory,sensory,665,665,0,0,0
BM_MaPa,cb_sensory,sensory,665,665,0,0,0
BM_Taste,cb_sensory,sensory,665,665,0,0,0
BM_Vib,cb_sensory,sensory,665,665,0,0,0
BM_Vt_PoOc,cb_sensory,sensory,665,665,0,0,0
BM_vOcci_vPoOr,cb_sensory,sensory,665,665,0,0,0
CB4246,cb_sensory,sensory,665,665,0,0,0
DNx01,sensory_descending,sensory,665,665,0,0,0
DNx02,sensory_descending,sensory,665,665,0,0,0
ENS1,cb_sensory,sensory,665,665,0,0,0
ENS2,cb_sensory,sensory,665,665,0,0,0
ENS3,cb_sensory,sensory,665,665,0,0,0
ENS4,cb_sensory,sensory,665,665,0,0,0
ENS5,cb_sensory,sensory,665,665,0,0,0
GNG642,cb_sensory,sensory,665,665,0,0,0
GNG643,cb_sensory,sensory,665,665,0,0,0
GNG644,cb_sensory,sensory,665,665,0,0,0
GNG654,cb_sensory,sensory,665,665,0,0,0
GNG655,cb_sensory,sensory,665,665,0,0,0
HBeyelet,ol_sensory,sensory,665,665,0,0,0
HRN_VP1d,cb_sensory,sensory,665,665,0,0,0
